234,90.25
234,90.25
234,89.25
234,89.25
233,88.25
232,88.25
232,88.25
229,87.25
225,85.25
221,84.25
216,82.25
211,80.25
208,80.25
203,79.25
197,79.25
191,79.25
185,79.25
169,82.25
161,86.25
148,92.25
140,97.25
133,102.25
126,107.25
120,112.25
114,118.25
108,127.25
103,135.25
98,143.25
94,151.25
91,159.25
89,170.25
88,179.25
87,186.25
87,193.25
87,198.25
87,203.25
87,208.25
87,212.25
87,218.25
88,222.25
89,226.25
91,230.25
92,234.25
96,241.25
98,242.25
102,246.25
105,248.25
108,250.25
113,253.25
117,255.25
120,257.25
125,259.25
130,261.25
134,263.25
142,266.25
146,266.25
152,267.25
158,268.25
163,268.25
170,268.25
177,268.25
181,268.25
189,268.25
194,267.25
199,266.25
204,265.25
210,262.25
214,260.25
217,258.25
220,256.25
222,253.25
224,251.25
226,248.25
227,244.25
228,240.25
228,235.25
228,229.25
228,220.25
228,217.25
227,213.25
225,210.25
223,207.25
219,205.25
215,202.25
211,198.25
208,195.25
204,192.25
200,189.25
195,186.25
192,184.25
190,182.25
187,181.25
185,180.25
182,180.25
178,179.25
175,178.25
171,178.25
167,177.25
163,177.25
158,177.25
154,177.25
147,177.25
140,177.25
136,178.25
133,179.25
129,180.25
126,180.25
122,181.25
120,182.25
117,183.25
115,184.25
112,185.25
109,187.25
106,189.25
105,190.25
102,191.25
100,193.25
99,194.25
98,194.25
97,195.25
96,196.25
95,196.25
95,197.25
95,197.25
94,197.25
93,198.25
93,198.25
93,198.25
93,197.25
